age_flooring,age_ceiling,height_flooring,height_ceiling,criterias_education,criterias_marriage,prediction
22,33,172,185,0,3,13
57,67,170,178,1,0,21
41,49,172,188,2,0,1
67,69,165,175,0,0,14
40,50,170,185,1,0,18
30,38,173,185,2,3,27
36,45,175,190,1,0,18
19,22,180,190,0,3,13
46,50,175,181,2,1,1
45,57,170,180,1,1,21
20,50,160,190,0,0,6
24,41,130,260,0,0,2
43,49,170,190,1,0,18
61,71,171,178,1,0,14
20,50,160,190,0,0,6
20,50,160,190,0,0,6
41,48,177,185,2,3,27
50,60,170,180,0,0,3
40,50,175,185,1,0,18
58,65,172,180,1,0,21
40,50,172,185,1,0,18
30,35,170,175,0,0,22
20,50,160,190,0,0,6
39,48,175,190,2,1,10
20,50,160,190,0,0,6
20,50,160,190,0,0,6
18,25,172,177,0,3,13
35,45,172,190,0,0,22
30,45,170,186,2,0,10
33,42,165,175,1,3,8
50,60,165,185,1,0,21
61,69,165,190,0,0,3
40,51,165,180,0,0,0
34,42,175,200,1,3,8
36,44,175,260,0,0,12
45,63,170,190,1,0,21
36,40,170,175,2,3,27
35,42,175,190,2,3,27
58,69,172,182,0,0,3
55,75,130,260,0,0,28
38,45,165,175,2,0,10
40,47,170,182,2,1,10
30,50,170,182,2,1,10
52,60,171,177,2,0,15
31,46,170,185,2,1,10
28,45,170,186,2,0,10
40,50,165,180,0,0,0
34,55,170,182,1,0,18
34,60,165,185,0,0,0
50,63,130,260,0,0,28
34,45,171,190,2,3,27
23,42,155,190,0,0,6
24,42,130,260,0,0,2
27,32,173,185,4,0,16
40,45,168,260,1,1,12
41,48,173,190,1,0,18
20,50,160,190,0,0,6
33,40,175,200,2,3,27
33,40,168,175,1,3,8
18,83,130,260,0,0,11
38,50,175,180,0,0,0
24,28,175,185,2,3,5
33,45,166,200,0,3,23
26,38,168,183,0,3,13
20,50,160,190,0,0,6
45,65,170,190,1,0,21
18,83,170,260,0,0,17
37,50,130,260,0,0,2
35,58,160,190,1,0,18
50,63,130,260,0,0,28
40,50,168,185,1,0,18
38,40,170,190,1,3,8
54,58,170,180,2,0,15
33,48,170,190,2,1,10
20,50,160,190,0,0,6
58,63,173,190,2,0,15
24,39,130,260,0,0,2
35,40,160,190,0,0,22
20,50,160,190,0,0,6
24,38,130,260,0,0,2
22,30,160,180,0,3,13
35,45,168,175,2,3,27
46,55,160,185,0,0,0
30,45,170,190,2,0,10
44,53,170,190,1,0,18
34,50,130,260,0,0,2
22,28,170,190,1,3,20
20,50,160,190,0,0,6
52,60,170,180,1,0,21
40,50,175,185,2,0,1
27,35,170,180,1,3,20
20,50,160,190,0,0,6
54,60,160,175,1,0,21
30,40,170,190,1,0,18
20,50,160,190,0,0,6
